iter	Passed	Remaining
398	104236	157007
399	104495	156742
400	104764	156493
401	105021	156225
402	105294	155982
403	105562	155730
404	105848	155505
405	106122	155262
406	106388	155007
407	106651	154748
408	106901	154471
409	107171	154222
410	107451	153987
411	107716	153731
412	107977	153468
413	108245	153217
414	108507	152956
415	108814	152758
416	109095	152525
417	109360	152266
418	109628	152014
419	109888	151750
420	110145	151483
421	110408	151223
422	110670	150962
423	110924	150690
424	111185	150427
425	111459	150182
426	111721	149921
427	112002	149685
428	112263	149423
429	112527	149163
430	112784	148896
431	113093	148696
432	113353	148433
433	113629	148190
434	113930	147979
435	114197	147722
436	114459	147462
437	114714	147190
438	114987	146943
439	115267	146704
440	115540	146456
441	115800	146191
442	116061	145928
443	116322	145665
444	116585	145404
445	116845	145140
446	117105	144875
447	117364	144609
448	117632	144354
449	117899	144099
450	118169	143847
451	118431	143585
452	118697	143328
453	118966	143074
454	119233	142818
455	119495	142556
456	119753	142289
457	120026	142040
458	120297	141788
459	120564	141532
460	120854	141303
461	121124	141050
462	121380	140780
463	121646	140522
464	121902	140253
465	122168	139996
466	122425	139727
467	122696	139475
468	122950	139204
469	123206	138935
470	123477	138682
471	123768	138452
472	124048	138210
473	124313	137951
474	124559	137671
475	124825	137412
476	125091	137154
477	125348	136887
478	125616	136631
479	125868	136357
480	126130	136094
481	126383	135822
482	126658	135574
483	126949	135342
484	127218	135088
485	127496	134841
486	127762	134583
487	128025	134321
488	128040	133801
489	128303	133540
490	128563	133276
491	128842	133032
492	129108	132775
493	129361	132503
494	129619	132238
495	129935	132030
496	130204	131776
497	130463	131511
498	130724	131248
499	130986	130986
500	131254	130730
501	131528	130480
502	131796	130224
503	132063	129967
504	132327	129707
505	132574	129430
506	132852	129184
507	133120	128927
508	133379	128662
509	133652	128411
510	133902	128138
511	134157	127868
512	134428	127615
513	134725	127385
514	134982	127118
515	135246	126859
516	135527	126614
517	135799	126361
518	136091	126127
519	136349	125861
520	136614	125601
521	136887	125348
522	137166	125102
523	137442	124852
524	137706	124591
525	137964	124325
526	138230	124066
527	138503	123813
528	138798	123580
529	139072	123328
530	139338	123068
531	139601	122807
532	139867	122547
533	140124	122280
534	140397	122028
535	140654	121760
536	140913	121495
537	141179	121235
538	141222	120785
539	141479	120519
540	141522	120072
541	141787	119812
542	142076	119574
543	142118	119128
544	142383	118870
545	142667	118628
546	142756	118224
547	142978	117931
548	143158	117603
549	143397	117325
550	143583	117003
551	143835	116736
552	144105	116482
553	144334	116197
554	144511	115869
555	144651	115513
556	144947	115281
557	145148	114974
558	145413	114718
559	145702	114480
560	145981	114235
561	146250	113981
562	146519	113728
563	146785	113472
564	147022	113194
565	147238	112899
566	147498	112639
567	147676	112317
568	147928	112051
569	148203	111802
570	148470	111547
571	148736	111292
572	149006	111040
573	149280	110789
574	149549	110536
575	149807	110275
576	150083	110026
577	150359	109777
578	150410	109366
579	150668	109104
580	150968	108873
581	151235	108619
582	151494	108358
583	151759	108102
584	152020	107843
585	152292	107592
586	152554	107333
587	152825	107081
588	153087	106823
589	153346	106563
590	153618	106311
591	153919	106079
592	154190	105827
593	154464	105576
594	154518	105176
595	154796	104929
596	155056	104669
597	155332	104421
598	155594	104162
599	155861	103907
600	156123	103649
601	156387	103392
602	156650	103134
603	156938	102893
604	157213	102643
605	157236	102229
606	157259	101817
607	157527	101563
608	157802	101314
609	158070	101061
610	158345	100812
611	158629	100569
612	158860	100292
613	159134	100041
614	159394	99783
615	159658	99527
616	159975	99304
617	159996	98897
618	160263	98643
619	160521	98384
620	160790	98131
621	161070	97885
622	161316	97618
623	161586	97366
624	161613	96967
625	161861	96703
626	162129	96450
627	162375	96184
628	162648	95934
629	162940	95695
630	163195	95434
631	163460	95179
632	163747	94937
633	164016	94684
634	164279	94428
635	164546	94174
636	164794	93909
637	165062	93656
638	165334	93404
639	165594	93147
640	165866	92895
641	166137	92643
642	166395	92384
643	166659	92128
644	166929	91875
645	167203	91625
646	167460	91365
647	167713	91103
648	167974	90846
649	168233	90587
650	168499	90332
651	168798	90094
652	169074	89844
653	169323	89580
654	169593	89327
655	169858	89071
656	170129	88819
657	170388	88560
658	170658	88307
659	170912	88045
660	171175	87789
661	171497	87562
662	171766	87308
663	172063	87068
664	172317	86806
665	172568	86543
666	172841	86291
667	173097	86030
668	173386	85786
669	173668	85538
670	173991	85310
671	174256	85053
672	174515	84794
673	174814	84554
674	175081	84298
675	175352	84044
676	175634	83796
677	175908	83543
678	176159	83279
679	176446	83033
680	176719	82780
681	177019	82539
682	177308	82294
683	177572	82036
684	177848	81784
685	178112	81526
686	178400	81280
687	178696	81036
688	178975	80785
689	179249	80532
690	179524	80279
691	179782	80018
692	180050	79762
693	180312	79503
694	180576	79245
695	180851	78992
696	181116	78734
697	181378	78475
698	181641	78217
699	181914	77963
700	182196	77712
701	182460	77454
702	182737	77201
703	183009	76947
704	183272	76688
705	183561	76440
706	183857	76195
707	184143	75945
708	184414	75690
709	184685	75435
710	184944	75174
711	185206	74914
712	185479	74659
713	185739	74400
