iter	RMSE
0	0.03563765514
1	0.03522465578
2	0.03488605595
3	0.03458228501
4	0.034328418
5	0.03409445172
6	0.03389267854
7	0.03372440753
8	0.03354801587
9	0.03339992502
10	0.03327893239
11	0.03314653516
12	0.03304274742
13	0.03286555094
14	0.03276000773
15	0.03262613732
16	0.03251555663
17	0.03242124185
18	0.03233008846
19	0.03225422969
20	0.03218527271
21	0.03211493885
22	0.03202545233
23	0.0319719057
24	0.03187322663
25	0.03182077371
26	0.03176822303
27	0.03171913457
28	0.03166000285
29	0.03161526753
30	0.03155154584
31	0.03148846105
32	0.03141020148
33	0.03135908949
34	0.03131874387
35	0.03127305365
36	0.03122528893
37	0.03118041265
38	0.03116053531
39	0.03110702602
40	0.03107945178
41	0.03103667757
42	0.03096978736
43	0.03094464331
44	0.03091055291
45	0.03087751747
46	0.03083746315
47	0.03079176282
48	0.03076671798
49	0.03071580183
50	0.03069697539
51	0.03066839955
52	0.03063543526
53	0.03060551893
54	0.0305666255
55	0.03054513742
56	0.03052709547
57	0.03049914919
58	0.03048319085
59	0.03043454131
60	0.03042078872
61	0.0304068572
62	0.03037932131
63	0.03034956545
64	0.03032322691
65	0.03029845353
66	0.03026047236
67	0.03021921225
68	0.03019011264
69	0.03017345999
70	0.03015729365
71	0.03011886704
72	0.03009260774
73	0.03007123166
74	0.03005018091
75	0.0300340015
76	0.0300002416
77	0.02998007939
78	0.02994969747
79	0.02993494894
80	0.02991958495
81	0.02988893819
82	0.02987029353
83	0.02985477167
84	0.02983632296
85	0.02981626594
86	0.0298029996
87	0.02978881601
88	0.02977175341
89	0.02974155031
90	0.02973107404
91	0.02971017093
92	0.02968143546
93	0.02965054841
94	0.02962506958
95	0.02960592685
96	0.02958641509
97	0.02956703777
98	0.02954778898
99	0.02953763123
100	0.02949531493
101	0.02946586982
102	0.02943072535
103	0.02941003172
104	0.02938810135
105	0.02936362926
106	0.02933418322
107	0.02932120433
108	0.02931139182
109	0.02929185991
110	0.02928105621
111	0.02925358444
112	0.02923558639
113	0.02921339313
114	0.02919650775
115	0.0291752644
116	0.02916092601
117	0.02914758834
118	0.02911900513
119	0.02909146999
120	0.02908199856
121	0.02906053027
122	0.02905202456
123	0.02903973021
124	0.02902234582
125	0.02899801181
126	0.02898250181
127	0.02896494911
128	0.02895183846
129	0.02894379704
130	0.02892821479
131	0.02890089082
132	0.0288796483
133	0.02885697307
134	0.02884704221
135	0.02881935957
136	0.02879603762
137	0.02877701744
138	0.02875522701
139	0.02873829498
140	0.02872834521
141	0.0287086039
142	0.02869037216
143	0.02866609414
144	0.02865229116
145	0.02863202956
